Astrocyte,COP,Endothelial,Ependymal,Microglia,Mural,NSC,Neuroblast,OL,OPC,TAP
ENSMUSG00000047361.17,ENSMUSG00000097736.9,ENSMUSG00000031502.12,ENSMUSG00000054580.15,ENSMUSG00000052760.17,ENSMUSG00000071847.14,ENSMUSG00000048332.14,ENSMUSG00000004113.20,ENSMUSG00000006403.14,ENSMUSG00000064329.15,ENSMUSG00000063919.12
ENSMUSG00000048332.14,ENSMUSG00000062391.4,ENSMUSG00000046808.19,ENSMUSG00000017754.14,ENSMUSG00000112843.2,ENSMUSG00000034485.11,ENSMUSG00000018849.7,ENSMUSG00000051527.12,ENSMUSG00000056966.8,ENSMUSG00000020902.13,ENSMUSG00000024501.21
ENSMUSG00000071856.11,ENSMUSG00000100147.4,ENSMUSG00000026566.16,ENSMUSG00000004098.8,ENSMUSG00000100627.8,ENSMUSG00000027803.15,ENSMUSG00000027803.15,ENSMUSG00000041592.17,ENSMUSG00000032517.17,ENSMUSG00000004892.14,ENSMUSG00000078773.12
ENSMUSG00000030235.18,ENSMUSG00000049807.17,ENSMUSG00000030102.12,ENSMUSG00000041986.17,ENSMUSG00000055322.17,ENSMUSG00000032232.15,ENSMUSG00000068748.8,ENSMUSG00000021301.10,ENSMUSG00000041607.18,ENSMUSG00000062151.14,ENSMUSG00000008575.18
ENSMUSG00000052560.16,ENSMUSG00000040759.10,ENSMUSG00000005125.14,ENSMUSG00000030772.7,ENSMUSG00000032089.17,ENSMUSG00000039202.13,ENSMUSG00000063297.8,ENSMUSG00000086308.3,ENSMUSG00000110027.3,ENSMUSG00000052560.16,ENSMUSG00000028613.16
ENSMUSG00000018849.7,ENSMUSG00000024935.12,ENSMUSG00000033149.18,ENSMUSG00000050666.15,ENSMUSG00000078942.11,ENSMUSG00000032377.9,ENSMUSG00000030235.18,ENSMUSG00000030209.15,ENSMUSG00000038267.16,ENSMUSG00000027574.16,ENSMUSG00000033565.19
ENSMUSG00000039620.18,ENSMUSG00000027692.17,ENSMUSG00000034520.15,ENSMUSG00000027800.15,ENSMUSG00000000489.8,ENSMUSG00000024998.18,ENSMUSG00000071398.9,ENSMUSG00000042751.15,ENSMUSG00000034488.15,ENSMUSG00000024427.8,ENSMUSG00000060257.3
ENSMUSG00000027803.15,ENSMUSG00000019846.12,ENSMUSG00000096054.4,ENSMUSG00000055254.16,ENSMUSG00000029471.14,ENSMUSG00000096054.4,ENSMUSG00000026679.4,ENSMUSG00000100826.7,ENSMUSG00000049807.17,ENSMUSG00000107815.2,ENSMUSG00000025427.16
ENSMUSG00000068748.8,ENSMUSG00000034903.19,ENSMUSG00000003617.17,ENSMUSG00000031503.14,ENSMUSG00000115816.2,ENSMUSG00000003617.17,ENSMUSG00000004892.14,ENSMUSG00000025938.17,ENSMUSG00000066129.18,ENSMUSG00000039706.12,ENSMUSG00000027210.21
ENSMUSG00000024998.18,ENSMUSG00000020154.11,ENSMUSG00000022146.13,ENSMUSG00000066842.19,ENSMUSG00000015396.5,ENSMUSG00000019789.10,ENSMUSG00000039620.18,ENSMUSG00000086496.3,ENSMUSG00000025584.18,ENSMUSG00000024935.12,ENSMUSG00000068748.8
ENSMUSG00000032482.10,ENSMUSG00000033006.11,ENSMUSG00000053965.11,ENSMUSG00000052560.16,ENSMUSG00000051435.12,ENSMUSG00000033565.19,ENSMUSG00000035984.15,ENSMUSG00000028358.16,ENSMUSG00000039542.17,ENSMUSG00000055254.16,ENSMUSG00000000861.16
ENSMUSG00000024620.12,ENSMUSG00000021294.8,ENSMUSG00000036745.16,ENSMUSG00000062151.14,ENSMUSG00000018476.8,ENSMUSG00000033191.15,ENSMUSG00000047361.17,ENSMUSG00000000861.16,ENSMUSG00000028399.19,ENSMUSG00000031841.20,ENSMUSG00000026640.13
ENSMUSG00000000560.10,ENSMUSG00000039202.13,ENSMUSG00000034903.19,ENSMUSG00000025789.10,ENSMUSG00000073489.7,ENSMUSG00000030102.12,ENSMUSG00000000560.10,ENSMUSG00000010505.17,ENSMUSG00000032854.13,ENSMUSG00000059974.11,ENSMUSG00000008489.19
ENSMUSG00000041959.15,ENSMUSG00000025324.9,ENSMUSG00000020186.8,ENSMUSG00000024998.18,ENSMUSG00000089809.10,ENSMUSG00000019820.12,ENSMUSG00000032377.9,ENSMUSG00000025666.17,ENSMUSG00000027858.14,ENSMUSG00000022262.9,ENSMUSG00000020297.11
ENSMUSG00000035984.15,ENSMUSG00000033470.13,ENSMUSG00000039706.12,ENSMUSG00000044229.10,ENSMUSG00000031504.7,ENSMUSG00000031565.19,ENSMUSG00000024620.12,ENSMUSG00000055717.14,ENSMUSG00000069601.15,ENSMUSG00000039546.10,ENSMUSG00000039735.17
ENSMUSG00000004892.14,ENSMUSG00000048537.17,ENSMUSG00000025584.18,ENSMUSG00000051043.17,ENSMUSG00000120355.1,ENSMUSG00000033377.15,ENSMUSG00000028370.8,ENSMUSG00000020297.11,ENSMUSG00000060716.8,ENSMUSG00000032492.15,ENSMUSG00000010505.17
ENSMUSG00000002265.18,ENSMUSG00000042961.14,ENSMUSG00000026640.13,ENSMUSG00000071265.12,ENSMUSG00000019850.12,ENSMUSG00000030125.12,ENSMUSG00000041959.15,ENSMUSG00000038718.16,ENSMUSG00000076439.13,ENSMUSG00000038738.16,ENSMUSG00000021364.17
ENSMUSG00000028583.15,ENSMUSG00000033579.17,ENSMUSG00000024935.12,ENSMUSG00000039706.12,ENSMUSG00000022895.17,ENSMUSG00000037999.14,ENSMUSG00000035126.20,ENSMUSG00000021364.17,ENSMUSG00000075324.14,ENSMUSG00000062760.12,ENSMUSG00000047193.17
ENSMUSG00000070469.13,ENSMUSG00000056966.8,ENSMUSG00000046768.14,ENSMUSG00000033377.15,ENSMUSG00000057596.14,ENSMUSG00000017144.9,ENSMUSG00000024998.18,ENSMUSG00000004031.14,ENSMUSG00000018427.9,ENSMUSG00000022658.11,ENSMUSG00000031906.10
ENSMUSG00000037747.10,ENSMUSG00000062760.12,ENSMUSG00000028613.16,ENSMUSG00000070469.13,ENSMUSG00000025877.15,ENSMUSG00000021665.10,ENSMUSG00000037999.14,ENSMUSG00000042743.14,ENSMUSG00000051586.18,ENSMUSG00000039607.18,ENSMUSG00000029245.17
ENSMUSG00000029167.14,ENSMUSG00000020788.16,ENSMUSG00000039735.17,ENSMUSG00000029287.15,ENSMUSG00000027399.2,ENSMUSG00000004098.8,ENSMUSG00000052560.16,ENSMUSG00000031517.9,ENSMUSG00000045215.18,ENSMUSG00000032911.7,ENSMUSG00000028556.16
ENSMUSG00000063297.8,ENSMUSG00000026463.18,ENSMUSG00000021701.9,ENSMUSG00000030102.12,ENSMUSG00000035713.16,ENSMUSG00000031750.16,ENSMUSG00000039960.6,ENSMUSG00000046449.16,ENSMUSG00000027562.13,ENSMUSG00000044647.17,ENSMUSG00000070576.5
ENSMUSG00000047193.17,ENSMUSG00000038668.15,ENSMUSG00000033565.19,ENSMUSG00000031565.19,ENSMUSG00000002897.6,ENSMUSG00000022272.18,ENSMUSG00000072663.13,ENSMUSG00000047414.7,ENSMUSG00000018166.9,ENSMUSG00000004031.14,ENSMUSG00000047534.18
ENSMUSG00000032492.15,ENSMUSG00000001930.18,ENSMUSG00000021696.10,ENSMUSG00000027803.15,ENSMUSG00000043004.14,ENSMUSG00000029287.15,ENSMUSG00000071856.11,ENSMUSG00000059857.16,ENSMUSG00000034903.19,ENSMUSG00000028583.15,ENSMUSG00000006369.15
ENSMUSG00000037999.14,ENSMUSG00000040584.9,ENSMUSG00000020099.9,ENSMUSG00000026227.12,ENSMUSG00000036931.16,ENSMUSG00000022708.17,ENSMUSG00000037747.10,ENSMUSG00000018589.9,ENSMUSG00000020774.10,ENSMUSG00000075324.14,ENSMUSG00000033152.14
ENSMUSG00000024427.8,ENSMUSG00000030247.10,ENSMUSG00000037999.14,ENSMUSG00000003617.17,ENSMUSG00000035356.18,ENSMUSG00000042743.14,ENSMUSG00000052221.9,ENSMUSG00000019146.3,ENSMUSG00000027669.15,ENSMUSG00000058656.14,ENSMUSG00000029005.5
ENSMUSG00000050666.15,ENSMUSG00000020178.7,ENSMUSG00000029309.8,ENSMUSG00000021097.16,ENSMUSG00000021127.8,ENSMUSG00000039706.12,ENSMUSG00000003949.17,ENSMUSG00000057182.17,ENSMUSG00000075415.14,ENSMUSG00000061578.10,ENSMUSG00000019891.16
ENSMUSG00000017144.9,ENSMUSG00000040729.9,ENSMUSG00000036206.13,ENSMUSG00000062760.12,ENSMUSG00000027398.14,ENSMUSG00000062151.14,ENSMUSG00000021087.19,ENSMUSG00000006586.16,ENSMUSG00000025321.15,ENSMUSG00000010064.16,ENSMUSG00000001911.17
ENSMUSG00000071398.9,ENSMUSG00000031284.17,ENSMUSG00000037712.18,ENSMUSG00000046886.7,ENSMUSG00000091996.9,ENSMUSG00000042834.16,ENSMUSG00000070469.13,ENSMUSG00000055612.16,ENSMUSG00000006800.15,ENSMUSG00000025427.16,ENSMUSG00000005089.16
ENSMUSG00000020601.9,ENSMUSG00000046449.16,ENSMUSG00000040987.16,ENSMUSG00000021087.19,ENSMUSG00000041797.8,ENSMUSG00000095304.10,ENSMUSG00000040473.16,ENSMUSG00000045215.18,ENSMUSG00000100147.4,ENSMUSG00000047907.12,ENSMUSG00000028137.10
ENSMUSG00000096054.4,ENSMUSG00000048163.14,ENSMUSG00000052560.16,ENSMUSG00000039960.6,ENSMUSG00000030921.18,ENSMUSG00000041731.14,ENSMUSG00000039194.17,ENSMUSG00000004151.18,ENSMUSG00000041362.18,ENSMUSG00000019846.12,ENSMUSG00000037852.9
ENSMUSG00000028370.8,ENSMUSG00000039546.10,ENSMUSG00000042961.14,ENSMUSG00000029406.16,ENSMUSG00000028859.15,ENSMUSG00000040729.9,ENSMUSG00000017144.9,ENSMUSG00000027849.20,ENSMUSG00000070469.13,ENSMUSG00000035184.16,ENSMUSG00000001300.17
ENSMUSG00000032377.9,ENSMUSG00000024236.19,ENSMUSG00000047414.7,ENSMUSG00000037541.23,ENSMUSG00000028159.15,ENSMUSG00000050157.7,ENSMUSG00000050666.15,ENSMUSG00000027966.21,ENSMUSG00000003534.18,ENSMUSG00000000560.10,ENSMUSG00000039202.13
ENSMUSG00000003949.17,ENSMUSG00000095041.8,ENSMUSG00000032908.10,ENSMUSG00000060962.13,ENSMUSG00000029135.11,ENSMUSG00000040274.12,ENSMUSG00000041731.14,ENSMUSG00000024044.20,ENSMUSG00000001911.17,ENSMUSG00000021087.19,ENSMUSG00000086308.3
ENSMUSG00000039194.17,ENSMUSG00000048416.16,ENSMUSG00000028073.16,ENSMUSG00000024411.12,ENSMUSG00000003420.9,ENSMUSG00000046808.19,ENSMUSG00000073102.8,ENSMUSG00000027210.21,ENSMUSG00000048038.9,ENSMUSG00000039542.17,ENSMUSG00000044229.10
ENSMUSG00000053702.17,ENSMUSG00000021994.16,ENSMUSG00000034881.9,ENSMUSG00000031379.14,ENSMUSG00000032691.15,ENSMUSG00000034738.9,ENSMUSG00000040729.9,ENSMUSG00000025555.15,ENSMUSG00000062591.6,ENSMUSG00000027200.18,ENSMUSG00000025666.17
ENSMUSG00000039706.12,ENSMUSG00000004892.14,ENSMUSG00000029287.15,ENSMUSG00000021665.10,ENSMUSG00000062960.11,ENSMUSG00000031379.14,ENSMUSG00000047193.17,ENSMUSG00000028370.8,ENSMUSG00000033579.17,ENSMUSG00000038267.16,ENSMUSG00000066705.8
ENSMUSG00000072663.13,ENSMUSG00000027858.14,ENSMUSG00000026888.15,ENSMUSG00000019892.14,ENSMUSG00000038352.16,ENSMUSG00000060803.7,ENSMUSG00000008575.18,ENSMUSG00000070880.11,ENSMUSG00000053646.14,ENSMUSG00000048960.14,ENSMUSG00000025789.10
ENSMUSG00000027200.18,ENSMUSG00000038173.16,ENSMUSG00000030551.15,ENSMUSG00000027200.18,ENSMUSG00000045672.16,ENSMUSG00000030551.15,ENSMUSG00000019775.18,ENSMUSG00000041126.17,ENSMUSG00000044647.17,ENSMUSG00000031517.9,ENSMUSG00000025321.15
ENSMUSG00000031379.14,ENSMUSG00000038642.11,ENSMUSG00000020902.13,ENSMUSG00000086851.2,ENSMUSG00000048865.17,ENSMUSG00000036972.15,ENSMUSG00000027692.17,ENSMUSG00000044647.17,ENSMUSG00000039830.10,ENSMUSG00000031284.17,ENSMUSG00000031517.9
ENSMUSG00000025780.8,ENSMUSG00000022840.10,ENSMUSG00000001300.17,ENSMUSG00000015829.14,ENSMUSG00000035697.15,ENSMUSG00000050919.11,ENSMUSG00000031379.14,ENSMUSG00000030643.15,ENSMUSG00000042662.17,ENSMUSG00000060803.7,ENSMUSG00000034520.15
ENSMUSG00000029406.16,ENSMUSG00000055435.7,ENSMUSG00000039620.18,ENSMUSG00000006800.15,ENSMUSG00000003545.4,ENSMUSG00000020788.16,ENSMUSG00000000167.15,ENSMUSG00000074657.6,ENSMUSG00000021696.10,ENSMUSG00000042751.15,ENSMUSG00000110631.2
ENSMUSG00000021643.16,ENSMUSG00000033863.3,ENSMUSG00000039676.5,ENSMUSG00000029167.14,ENSMUSG00000014164.16,ENSMUSG00000061524.9,ENSMUSG00000032482.10,ENSMUSG00000040209.13,ENSMUSG00000062380.5,ENSMUSG00000044365.16,ENSMUSG00000032377.9
ENSMUSG00000027692.17,ENSMUSG00000047797.15,ENSMUSG00000041126.17,ENSMUSG00000039620.18,ENSMUSG00000118107.2,ENSMUSG00000024597.12,ENSMUSG00000027676.12,ENSMUSG00000023033.15,ENSMUSG00000049493.14,ENSMUSG00000019775.18,ENSMUSG00000030209.15
ENSMUSG00000021791.8,ENSMUSG00000025375.16,ENSMUSG00000039997.17,ENSMUSG00000026463.18,ENSMUSG00000023169.16,ENSMUSG00000028556.16,ENSMUSG00000002265.18,ENSMUSG00000027574.16,ENSMUSG00000022840.10,ENSMUSG00000027692.17,ENSMUSG00000047935.18
ENSMUSG00000021665.10,ENSMUSG00000010064.16,ENSMUSG00000020176.18,ENSMUSG00000028637.17,ENSMUSG00000059013.13,ENSMUSG00000040987.16,ENSMUSG00000086308.3,ENSMUSG00000021614.17,ENSMUSG00000048304.9,ENSMUSG00000020135.14,ENSMUSG00000000632.14
ENSMUSG00000086308.3,ENSMUSG00000020053.19,ENSMUSG00000033577.19,ENSMUSG00000026676.8,ENSMUSG00000013236.18,ENSMUSG00000034881.9,ENSMUSG00000019892.14,ENSMUSG00000019891.16,ENSMUSG00000046768.14,ENSMUSG00000048304.9,ENSMUSG00000023169.16
ENSMUSG00000039960.6,ENSMUSG00000020799.17,ENSMUSG00000027203.16,ENSMUSG00000027168.22,ENSMUSG00000028214.14,ENSMUSG00000017754.14,ENSMUSG00000021665.10,ENSMUSG00000000560.10,ENSMUSG00000026888.15,ENSMUSG00000003617.17,ENSMUSG00000035126.20
ENSMUSG00000008575.18,ENSMUSG00000022272.18,ENSMUSG00000008575.18,ENSMUSG00000035184.16,ENSMUSG00000047180.9,ENSMUSG00000024427.8,ENSMUSG00000015766.15,ENSMUSG00000041986.17,ENSMUSG00000033863.3,ENSMUSG00000046449.16,ENSMUSG00000053965.11
