cell_type,panglao_cell_type,gene_mouse,gene_raw,canonical,specificity_mouse,sensitivity_mouse
qNSC,Neural stem/precursor cells,Apoe,APOE,1,0.389574,0.296296
qNSC,Neural stem/precursor cells,Ccnd2,CCND2,1,0.261345,0.925926
qNSC,Neural stem/precursor cells,Dcx,DCX,1,0.135043,0.703704
qNSC,Neural stem/precursor cells,Id4,ID4,1,0.100977,0.555556
qNSC,Neural stem/precursor cells,Aldoc,ALDOC,1,0.0968634,0.037037
qNSC,Neural stem/precursor cells,Igf1r,IGF1R,1,0.0812444,0.0740741
qNSC,Neural stem/precursor cells,Dlx1,DLX1,1,0.0433218,0.925926
qNSC,Neural stem/precursor cells,Neurod1,NEUROD1,1,0.0429361,0.0740741
qNSC,Neural stem/precursor cells,Hes5,HES5,1,0.041972,0.222222
qNSC,Neural stem/precursor cells,Dlx2,DLX2,1,0.0355444,0.925926
qNSC,Neural stem/precursor cells,Eomes,EOMES,1,0.0261602,0.0
qNSC,Neural stem/precursor cells,Prom1,PROM1,1,0.0242319,0.0
qNSC,Neural stem/precursor cells,Hopx,HOPX,1,0.0223036,0.0
qNSC,Neural stem/precursor cells,Arx,ARX,1,0.0222394,0.814815
qNSC,Neural stem/precursor cells,Gfap,GFAP,1,0.0149762,0.0
qNSC,Neural stem/precursor cells,Dynlt1c,DYNLT1C,1,0.0106055,0.0740741
qNSC,Neural stem/precursor cells,Ascl2,ASCL2,1,0.00482067,0.0
qNSC,Neural stem/precursor cells,Pou3f4,POU3F4,1,0.00353516,0.555556
qNSC,Neural stem/precursor cells,Prss56,PRSS56,1,0.00199254,0.0
qNSC,Neural stem/precursor cells,Sox1,SOX1,1,0.0,0.0
qNSC,Neural stem/precursor cells,Sp8,SP8,1,0.0,0.0
qNSC,Neural stem/precursor cells,Sox3,SOX3,1,0.0,0.0
qNSC,Neural stem/precursor cells,Slc1a3,SLC1A3,1,0.0,0.0
qNSC,Neural stem/precursor cells,Rnd3,RND3,1,0.0,0.0
qNSC,Neural stem/precursor cells,Sp9,SP9,1,0.0,0.0
aNSC,Neural stem/precursor cells,Egfr,APOE,1,0.389574,0.296296
aNSC,Neural stem/precursor cells,Ascl1,CCND2,1,0.261345,0.925926
aNSC,Neural stem/precursor cells,Mki67,DCX,1,0.135043,0.703704
aNSC,Neural stem/precursor cells,Mcm2,ID4,1,0.100977,0.555556
aNSC,Neural stem/precursor cells,Ccnd2,ALDOC,1,0.0968634,0.037037
aNSC,Neural stem/precursor cells,Apoe,IGF1R,1,0.0812444,0.0740741
aNSC,Neural stem/precursor cells,Dcx,DLX1,1,0.0433218,0.925926
aNSC,Neural stem/precursor cells,Id4,NEUROD1,1,0.0429361,0.0740741
aNSC,Neural stem/precursor cells,Aldoc,HES5,1,0.041972,0.222222
aNSC,Neural stem/precursor cells,Igf1r,DLX2,1,0.0355444,0.925926
aNSC,Neural stem/precursor cells,Dlx1,EOMES,1,0.0261602,0.0
aNSC,Neural stem/precursor cells,Neurod1,PROM1,1,0.0242319,0.0
aNSC,Neural stem/precursor cells,Hes5,HOPX,1,0.0223036,0.0
aNSC,Neural stem/precursor cells,Dlx2,ARX,1,0.0222394,0.814815
aNSC,Neural stem/precursor cells,Eomes,GFAP,1,0.0149762,0.0
aNSC,Neural stem/precursor cells,Prom1,DYNLT1C,1,0.0106055,0.0740741
aNSC,Neural stem/precursor cells,Hopx,ASCL2,1,0.00482067,0.0
aNSC,Neural stem/precursor cells,Arx,POU3F4,1,0.00353516,0.555556
aNSC,Neural stem/precursor cells,Gfap,PRSS56,1,0.00199254,0.0
aNSC,Neural stem/precursor cells,Dynlt1c,SOX1,1,0.0,0.0
aNSC,Neural stem/precursor cells,Ascl2,SP8,1,0.0,0.0
aNSC,Neural stem/precursor cells,Pou3f4,SOX3,1,0.0,0.0
aNSC,Neural stem/precursor cells,Prss56,SLC1A3,1,0.0,0.0
aNSC,Neural stem/precursor cells,Sox1,RND3,1,0.0,0.0
aNSC,Neural stem/precursor cells,Sp8,SP9,1,0.0,0.0
Neuroblast,Neuroblasts,Ncam1,NCAM1,1,0.431083,1.0
Neuroblast,Neuroblasts,Ncan,NCAN,1,0.261422,1.0
Neuroblast,Neuroblasts,Pbx1,PBX1,1,0.19982,1.0
Neuroblast,Neuroblasts,Igfbpl1,IGFBPL1,1,0.175308,1.0
Neuroblast,Neuroblasts,Ezh2,EZH2,1,0.152336,0.0
Neuroblast,Neuroblasts,Dcx,DCX,1,0.135973,1.0
Neuroblast,Neuroblasts,Epha4,EPHA4,1,0.0940067,0.0
Neuroblast,Neuroblasts,Cnr1,CNR1,1,0.0813013,0.0
Neuroblast,Neuroblasts,Itga6,ITGA6,1,0.0616016,0.0
Neuroblast,Neuroblasts,Dab1,DAB1,1,0.056789,0.0
Neuroblast,Neuroblasts,Mark2,MARK2,1,0.0470996,0.0
Neuroblast,Neuroblasts,Nes,NES,1,0.0441478,0.0
Neuroblast,Neuroblasts,Neurod1,NEUROD1,1,0.0429928,0.0
Neuroblast,Neuroblasts,Grm5,GRM5,1,0.0420303,0.0
Neuroblast,Neuroblasts,Dlx2,DLX2,1,0.0370252,1.0
Neuroblast,Neuroblasts,Lrp8,LRP8,1,0.0367685,0.0
Neuroblast,Neuroblasts,Isl1,ISL1,1,0.0313783,0.0
Neuroblast,Neuroblasts,Cux2,CUX2,1,0.0302233,0.0
Neuroblast,Neuroblasts,Pros1,PROS1,1,0.0286833,0.0
Neuroblast,Neuroblasts,Eomes,EOMES,1,0.0261165,0.0
Neuroblast,Neuroblasts,Neurog2,NEUROG2,1,0.0203414,0.0
Neuroblast,Neuroblasts,Ntng1,NTNG1,1,0.017903,0.0
Neuroblast,Neuroblasts,Egfr,EGFR,1,0.0127695,0.0
Neuroblast,Neuroblasts,Erbb4,ERBB4,1,0.0103311,0.0
Neuroblast,Neuroblasts,Draxin,DRAXIN,1,0.00840606,0.0
OPC,Oligodendrocyte progenitor cells,Nnat,NNAT,1,0.272296,0.599057
OPC,Oligodendrocyte progenitor cells,Cnp,CNP,1,0.120926,0.34434
OPC,Oligodendrocyte progenitor cells,Cspg5,CSPG5,1,0.101607,0.867925
OPC,Oligodendrocyte progenitor cells,Aldoc,ALDOC,1,0.094061,0.292453
OPC,Oligodendrocyte progenitor cells,Fyn,FYN,1,0.0705783,0.391509
OPC,Oligodendrocyte progenitor cells,Olig1,OLIG1,1,0.0696025,0.995283
OPC,Oligodendrocyte progenitor cells,Epn2,EPN2,1,0.0426072,0.801887
OPC,Oligodendrocyte progenitor cells,Gpr37l1,GPR37L1,1,0.041111,0.745283
OPC,Oligodendrocyte progenitor cells,Olig2,OLIG2,1,0.037078,0.938679
OPC,Oligodendrocyte progenitor cells,Cdo1,CDO1,1,0.0347362,0.556604
OPC,Oligodendrocyte progenitor cells,Pdgfra,PDGFRA,1,0.0329149,0.849057
OPC,Oligodendrocyte progenitor cells,Nkx6-2,NKX6-2,1,0.0306381,0.0
OPC,Oligodendrocyte progenitor cells,Lad1,LAD1,1,0.0221817,0.00471698
OPC,Oligodendrocyte progenitor cells,Etv5,ETV5,1,0.0190594,0.0235849
OPC,Oligodendrocyte progenitor cells,Gpr17,GPR17,1,0.0156768,0.693396
OPC,Oligodendrocyte progenitor cells,Cspg4,CSPG4,1,0.0137904,0.410377
OPC,Oligodendrocyte progenitor cells,Matn4,MATN4,1,0.0102127,0.669811
OPC,Oligodendrocyte progenitor cells,Ascl1,ASCL1,1,0.00696026,0.0283019
OPC,Oligodendrocyte progenitor cells,Lhfpl3,LHFPL3,1,0.00630976,0.816038
OPC,Oligodendrocyte progenitor cells,C1ql1,C1QL1,1,0.00435829,0.801887
OPC,Oligodendrocyte progenitor cells,Neu4,NEU4,1,0.00409809,0.495283
OPC,Oligodendrocyte progenitor cells,Kcnip3,KCNIP3,1,0.00325246,0.410377
OPC,Oligodendrocyte progenitor cells,Pcdh15,PCDH15,1,0.00156118,0.377358
OPC,Oligodendrocyte progenitor cells,Tmem100,TMEM100,1,0.0,0.0
OPC,Oligodendrocyte progenitor cells,Vcan,VCAN,1,0.0,0.0
OL,Oligodendrocytes,Plp1,PLP1,1,0.103174,1.0
OL,Oligodendrocytes,Mbp,MBP,1,0.0934699,1.0
OL,Oligodendrocytes,Enpp2,ENPP2,1,0.045623,0.994638
OL,Oligodendrocytes,Fasn,FASN,1,0.0368623,0.256032
OL,Oligodendrocytes,Olig1,OLIG1,1,0.036458,0.991957
OL,Oligodendrocytes,Ptgds,PTGDS,1,0.0343015,0.469169
OL,Oligodendrocytes,Hdac11,HDAC11,1,0.0314037,0.135389
OL,Oligodendrocytes,Mcam,MCAM,1,0.0295168,0.116622
OL,Oligodendrocytes,Olig2,OLIG2,1,0.0285734,0.462466
OL,Oligodendrocytes,Hepacam,HEPACAM,1,0.0250691,0.365952
OL,Oligodendrocytes,Gamt,GAMT,1,0.0220365,0.520107
OL,Oligodendrocytes,Pnpla2,PNPLA2,1,0.0216322,0.00268097
OL,Oligodendrocytes,Prkcz,PRKCZ,1,0.0192735,0.203753
OL,Oligodendrocytes,Efnb3,EFNB3,1,0.0185996,0.810992
OL,Oligodendrocytes,Cldn11,CLDN11,1,0.0181953,1.0
OL,Oligodendrocytes,Fgfr2,FGFR2,1,0.0181953,0.447721
OL,Oligodendrocytes,Pllp,PLLP,1,0.0173192,0.797587
OL,Oligodendrocytes,Creb5,CREB5,1,0.0171171,0.264075
OL,Oligodendrocytes,Bace1,BACE1,1,0.0158366,0.227882
OL,Oligodendrocytes,Ddc,DDC,1,0.0158366,0.0321716
OL,Oligodendrocytes,Pou3f1,POU3F1,1,0.0156345,0.038874
OL,Oligodendrocytes,Pde8a,PDE8A,1,0.014691,0.0871314
OL,Oligodendrocytes,Il33,IL33,1,0.0141519,0.148794
OL,Oligodendrocytes,Klhl2,KLHL2,1,0.0138149,0.613941
OL,Oligodendrocytes,Anln,ANLN,1,0.0111193,0.261394
Astrocyte,Astrocytes,Apoe,APOE,1,0.377225,1.0
Astrocyte,Astrocytes,Fabp7,FABP7,1,0.164202,0.688525
Astrocyte,Astrocytes,Ets1,ETS1,1,0.111322,0.0
Astrocyte,Astrocytes,Gja1,GJA1,1,0.0894634,0.993443
Astrocyte,Astrocytes,Aldoc,ALDOC,1,0.0787304,1.0
Astrocyte,Astrocytes,Gsta4,GSTA4,1,0.0625654,0.0786885
Astrocyte,Astrocytes,Htra1,HTRA1,1,0.0572644,0.84918
Astrocyte,Astrocytes,Cmtm5,CMTM5,1,0.0431283,0.537705
Astrocyte,Astrocytes,Lcn2,LCN2,1,0.0426047,0.0
Astrocyte,Astrocytes,Pla2g7,PLA2G7,1,0.0393979,0.908197
Astrocyte,Astrocytes,Luzp2,LUZP2,1,0.0363874,0.508197
Astrocyte,Astrocytes,Gpr37l1,GPR37L1,1,0.032199,0.977049
Astrocyte,Astrocytes,Nkain4,NKAIN4,1,0.0295812,0.668852
Astrocyte,Astrocytes,Hspa2,HSPA2,1,0.0270942,0.121311
Astrocyte,Astrocytes,Cldn10,CLDN10,1,0.0164921,0.718033
Astrocyte,Astrocytes,Bysl,BYSL,1,0.0137435,0.0
Astrocyte,Astrocytes,Acsbg1,ACSBG1,1,0.0132853,0.796721
Astrocyte,Astrocytes,Entpd2,ENTPD2,1,0.0126963,0.108197
Astrocyte,Astrocytes,Aqp4,AQP4,1,0.0124346,0.878689
Astrocyte,Astrocytes,Ccr7,CCR7,1,0.0116492,0.0
Astrocyte,Astrocytes,Cd40,CD40,1,0.0110602,0.0
Astrocyte,Astrocytes,Fgfr3,FGFR3,1,0.0106675,0.681967
Astrocyte,Astrocytes,Fzd2,FZD2,1,0.0103403,0.101639
Astrocyte,Astrocytes,Agt,AGT,1,0.00942408,0.622951
Astrocyte,Astrocytes,Hmg20a,HMG20A,1,0.00890052,0.0
Microglia,Microglia,Fos,FOS,1,0.374117,0.609091
Microglia,Microglia,Egr1,EGR1,1,0.202971,0.397727
Microglia,Microglia,Cd53,CD53,1,0.137207,0.877273
Microglia,Microglia,Ctss,CTSS,1,0.101222,1.0
Microglia,Microglia,Fcgr3,FCGR3,1,0.0635193,0.936364
Microglia,Microglia,C1qb,C1QB,1,0.0567184,1.0
Microglia,Microglia,Aif1,AIF1,1,0.0516342,0.929545
Microglia,Microglia,Apbb1ip,APBB1IP,1,0.0505117,0.343182
Microglia,Microglia,Csf1r,CSF1R,1,0.0490591,0.997727
Microglia,Microglia,Cyth4,CYTH4,1,0.0445692,0.722727
Microglia,Microglia,Mafb,MAFB,1,0.0422582,0.418182
Microglia,Microglia,Olfml3,OLFML3,1,0.0365137,0.8
Microglia,Microglia,Itgb5,ITGB5,1,0.0358534,0.731818
Microglia,Microglia,Pf4,PF4,1,0.0343348,0.0636364
Microglia,Microglia,Ccl4,CCL4,1,0.0342027,0.556818
Microglia,Microglia,Cbr2,CBR2,1,0.0340707,0.00909091
Microglia,Microglia,Colec12,COLEC12,1,0.0285903,0.0
Microglia,Microglia,C5ar1,C5AR1,1,0.027864,0.111364
Microglia,Microglia,Clec3b,CLEC3B,1,0.0275338,0.0
Microglia,Microglia,Ccl3,CCL3,1,0.0273358,0.565909
Microglia,Microglia,Cebpa,CEBPA,1,0.0252228,0.193182
Microglia,Microglia,Ptgs1,PTGS1,1,0.0235061,0.465909
Microglia,Microglia,Ltc4s,LTC4S,1,0.0229119,0.8
Microglia,Microglia,Fcrls,FCRLS,1,0.0220535,0.938636
Microglia,Microglia,Lpcat2,LPCAT2,1,0.0213932,0.743182
Ependymal,Ependymal cells,Efnb3,EFNB3,1,0.0567541,0.0333333
Ependymal,Ependymal cells,Pcp4l1,PCP4L1,1,0.0482669,0.78
Ependymal,Ependymal cells,Aqp1,AQP1,1,0.0428895,0.0
Ependymal,Ependymal cells,Calml4,CALML4,1,0.0395854,0.766667
Ependymal,Ependymal cells,Myb,MYB,1,0.0261743,0.246667
Ependymal,Ependymal cells,Aqp4,AQP4,1,0.0242306,0.56
Ependymal,Ependymal cells,Celsr2,CELSR2,1,0.023194,0.02
Ependymal,Ependymal cells,Hspa2,HSPA2,1,0.0207969,0.866667
Ependymal,Ependymal cells,Hdc,HDC,1,0.0164561,0.68
Ependymal,Ependymal cells,Krt15,KRT15,1,0.0156139,0.193333
Ependymal,Ependymal cells,Angptl2,ANGPTL2,1,0.014966,0.00666667
Ependymal,Ependymal cells,Gfap,GFAP,1,0.0143829,0.0733333
Ependymal,Ependymal cells,Enkur,ENKUR,1,0.0069323,0.84
Ependymal,Ependymal cells,Pltp,PLTP,1,0.00485909,0.04
Ependymal,Ependymal cells,Pvalb,PVALB,1,0.00414642,0.18
Ependymal,Ependymal cells,Ak8,AK8,1,0.00330418,0.0466667
Ependymal,Ependymal cells,Foxj1,FOXJ1,1,0.002138,0.96
Ependymal,Ependymal cells,Ak7,AK7,1,0.00174927,0.6
Ependymal,Ependymal cells,Cfap44,CFAP44,1,0.00149012,0.593333
Ependymal,Ependymal cells,Odf3b,ODF3B,1,0.000907029,0.673333
Ependymal,Ependymal cells,Ccdc153,CCDC153,1,0.000518303,0.76
Ependymal,Ependymal cells,Crocc,CROCC,1,0.000194363,0.38
Ependymal,Ependymal cells,Trim71,TRIM71,1,0.0,0.0
Ependymal,Ependymal cells,Six3,SIX3,1,0.0,0.0
Ependymal,Ependymal cells,Usp18,USP18,1,0.0,0.0
Endothelial,Endothelial cells,Cd9,CD9,1,0.362826,0.43099
Endothelial,Endothelial cells,Gpm6a,GPM6A,1,0.306337,0.0950521
Endothelial,Endothelial cells,Id3,ID3,1,0.203887,0.971354
Endothelial,Endothelial cells,Ifi27,IFI27,1,0.153472,0.30599
Endothelial,Endothelial cells,Clic4,CLIC4,1,0.141257,0.746094
Endothelial,Endothelial cells,Plac8,PLAC8,1,0.134778,0.0455729
Endothelial,Endothelial cells,Igfbp7,IGFBP7,1,0.125599,0.889323
Endothelial,Endothelial cells,Gng11,GNG11,1,0.102855,0.964844
Endothelial,Endothelial cells,Cd82,CD82,1,0.0975231,0.247396
Endothelial,Endothelial cells,Cdkn1c,CDKN1C,1,0.0958359,0.354167
Endothelial,Endothelial cells,Id1,ID1,1,0.0923939,0.824219
Endothelial,Endothelial cells,Ly6a,LY6A,1,0.0907066,0.65625
Endothelial,Endothelial cells,Ets1,ETS1,1,0.0780185,0.709635
Endothelial,Endothelial cells,Pdpn,PDPN,1,0.0730917,0.0403646
Endothelial,Endothelial cells,Mgp,MGP,1,0.0683674,0.166667
Endothelial,Endothelial cells,Ednrb,EDNRB,1,0.0658028,0.0989583
Endothelial,Endothelial cells,Emp1,EMP1,1,0.0591213,0.259115
Endothelial,Endothelial cells,Ptgds,PTGDS,1,0.0575015,0.00911458
Endothelial,Endothelial cells,Plec,PLEC,1,0.0569616,0.174479
Endothelial,Endothelial cells,Mgll,MGLL,1,0.0567591,0.22526
Endothelial,Endothelial cells,Mylk,MYLK,1,0.0446784,0.0872396
Endothelial,Endothelial cells,Ltc4s,LTC4S,1,0.0446784,0.0481771
Endothelial,Endothelial cells,Cd34,CD34,1,0.044341,0.752604
Endothelial,Endothelial cells,Epas1,EPAS1,1,0.0429237,0.858073
Endothelial,Endothelial cells,Lifr,LIFR,1,0.0394817,0.179688
Pericyte,Pericytes,Mfge8,MFGE8,1,0.153295,0.979339
Pericyte,Pericytes,Col1a1,COL1A1,1,0.0731278,0.0826446
Pericyte,Pericytes,Pecam1,PECAM1,1,0.0539008,0.0289256
Pericyte,Pericytes,Ifitm1,IFITM1,1,0.0519455,0.884298
Pericyte,Pericytes,Dlk1,DLK1,1,0.0490778,0.623967
Pericyte,Pericytes,Gnb4,GNB4,1,0.0477742,0.690083
Pericyte,Pericytes,Myo1b,MYO1B,1,0.0433422,0.826446
Pericyte,Pericytes,Acta2,ACTA2,1,0.0367594,0.173554
Pericyte,Pericytes,Mcam,MCAM,1,0.0235938,0.673554
Pericyte,Pericytes,Pth1r,PTH1R,1,0.0213778,0.152893
Pericyte,Pericytes,Des,DES,1,0.0202698,0.214876
Pericyte,Pericytes,Pdgfrb,PDGFRB,1,0.0187056,0.966942
Pericyte,Pericytes,Anpep,ANPEP,1,0.0169458,0.0123967
Pericyte,Pericytes,Cd248,CD248,1,0.0141433,0.652893
Pericyte,Pericytes,Msx1,MSX1,1,0.0133611,0.00413223
Pericyte,Pericytes,Angpt1,ANGPT1,1,0.0125138,0.00413223
Pericyte,Pericytes,Ctgf,CTGF,1,0.0120576,0.0371901
Pericyte,Pericytes,Higd1b,HIGD1B,1,0.0109496,0.938017
Pericyte,Pericytes,Alpl,ALPL,1,0.0106889,0.0
Pericyte,Pericytes,Cspg4,CSPG4,1,0.0102327,0.586777
Pericyte,Pericytes,Cog7,COG7,1,0.0099068,0.0413223
Pericyte,Pericytes,Notch3,NOTCH3,1,0.00938539,0.826446
Pericyte,Pericytes,Abcc9,ABCC9,1,0.00736492,0.818182
Pericyte,Pericytes,Kcnj8,KCNJ8,1,0.00723457,0.85124
Pericyte,Pericytes,Inpp4b,INPP4B,1,0.00716939,0.103306
VSMC,Smooth muscle cells,Bgn,BGN,1,0.102173,0.719008
VSMC,Smooth muscle cells,Myl9,MYL9,1,0.0560657,1.0
VSMC,Smooth muscle cells,Pcp4l1,PCP4L1,1,0.0499871,0.735537
VSMC,Smooth muscle cells,Itga1,ITGA1,1,0.0456544,0.46281
VSMC,Smooth muscle cells,Nrp2,NRP2,1,0.0412571,0.0578512
VSMC,Smooth muscle cells,Mylk,MYLK,1,0.0396405,0.958678
VSMC,Smooth muscle cells,Ehd2,EHD2,1,0.0353725,0.38843
VSMC,Smooth muscle cells,Fabp4,FABP4,1,0.0318805,0.206612
VSMC,Smooth muscle cells,Acta2,ACTA2,1,0.0313632,1.0
VSMC,Smooth muscle cells,Ogn,OGN,1,0.0312985,0.181818
VSMC,Smooth muscle cells,Fhl2,FHL2,1,0.0281945,0.0826446
VSMC,Smooth muscle cells,Gjc1,GJC1,1,0.0276772,0.297521
VSMC,Smooth muscle cells,Lmo7,LMO7,1,0.0272892,0.0
VSMC,Smooth muscle cells,Fbln5,FBLN5,1,0.0270305,0.115702
VSMC,Smooth muscle cells,Crabp1,CRABP1,1,0.0234739,0.00826446
VSMC,Smooth muscle cells,Mfap5,MFAP5,1,0.0234092,0.107438
VSMC,Smooth muscle cells,Notch3,NOTCH3,1,0.0183652,0.495868
VSMC,Smooth muscle cells,Des,DES,1,0.0177186,0.735537
VSMC,Smooth muscle cells,Lamb2,LAMB2,1,0.0175892,0.46281
VSMC,Smooth muscle cells,Hexim1,HEXIM1,1,0.0175892,0.0330578
VSMC,Smooth muscle cells,Gja4,GJA4,1,0.0174599,0.578512
VSMC,Smooth muscle cells,Lox,LOX,1,0.0164252,0.0743802
VSMC,Smooth muscle cells,Aaed1,AAED1,1,0.0152613,0.0991736
VSMC,Smooth muscle cells,Pde4dip,PDE4DIP,1,0.0140326,0.0247934
VSMC,Smooth muscle cells,Akt2,AKT2,1,0.0140326,0.0165289
TAP,(not in PanglaoDB — manual),Ascl1,ASCL1,1,,
TAP,(not in PanglaoDB — manual),Egfr,EGFR,1,,
TAP,(not in PanglaoDB — manual),Dlx1,DLX1,1,,
TAP,(not in PanglaoDB — manual),Dlx2,DLX2,1,,
TAP,(not in PanglaoDB — manual),Mki67,MKI67,1,,
TAP,(not in PanglaoDB — manual),Top2a,TOP2A,1,,
TAP,(not in PanglaoDB — manual),Hmgb2,HMGB2,1,,
TAP,(not in PanglaoDB — manual),Cenpf,CENPF,1,,
COP,(not in PanglaoDB — manual + OPC overlap),Tcf7l2,TCF7L2,1,,
COP,(not in PanglaoDB — manual + OPC overlap),Bmp4,BMP4,1,,
COP,(not in PanglaoDB — manual + OPC overlap),Sox6,SOX6,1,,
